Date;Puissance moyenne journaliere de injection RTE;Puissance moyenne journaliere du refoulement RTE;Puissance moyenne journaliere des pertes modelisees;Energie moyenne journaliere des consommations totales;Energie moyenne journaliere des consommations HTA profilees;Puissance moyenne journaliere de la production decentralisee totale;Puissance moyenne journaliere de la production decentralisee profilee;Puissance moyenne journaliere de la production photovoltaique profilee;Temperature moyenne journaliere realisee;Temperature moyenne journaliere normale;Temperature moyenne journaliere realisee lissee;Temperature moyenne journaliere normale lissee;Puissance moyenne journaliere de la production eolienne totale;Puissance moyenne journaliere de la production photovoltaique totale;Puissance moyenne journaliere de la production autre;mois;Puissance moyenne journaliere du soutirage net vers autres GRD;Energie moyenne journaliere des consommations HTA telerelevees a courbe de charge;Energie moyenne journaliere des consommations totales profilees;Puissance moyenne journaliere de la production decentralisee telerelevee a courbe de charge;Puissance moyenne journaliere de la production autre profilee;Categorie client;Puissance moyenne journaliere
2013-08-10;27000932854.1667;563245791.666667;1738871164.72917;27076677164.5417;1126483192.54167;2629151177.41667;443575869.083333;430782183.270833;19.2961805555556;20.7746527777778;20.1645833333333;21.3270833333333;962655152.125;741608834.770833;924883775.1874998;8;251289910.625;8073479349.16667;19003197815.375;2185575308.33333;1459306.0;PME / PMI;3744610317.02083
2013-08-25;26033503083.3333;638988375.0;1662314269.16667;26074364201.2917;1013685617.72917;2580940932.27083;416586731.229167;404061187.729167;16.3243055555556;19.540625;19.0125;20.1583333333333;1188181752.22917;614522675.583333;778234248.8749998;8;238777170.0;7371651702.5;18702712498.7917;2164354201.04167;1463008.0;Professionnels;3076408297.625
2013-09-12;35441312791.6667;373992854.166667;2131343807.54167;34631682867.4583;1857596608.95833;2022541238.77083;347758240.4375;334172962.1875;15.0809027777778;17.403125;15.7916666666667;18.0520833333333;699606227.354167;528760170.75;794174222.479166;9;326834501.2499997;12746258587.2917;21885424280.1667;1674782998.33333;2419044.0;Entreprises;14603855196.25003
2013-09-16;33832226020.8333;1380635791.66667;2017123931.41667;34163483447.1875;1758625259.47917;4030264553.85417;330836680.104167;317605904.458333;14.1840277777778;16.915625;15.2625;17.53125;2803110437.60417;481812988.75;745340486.4375;9;301247404.3750003;11915422483.3333;22248060963.8542;3699427873.75;2419097.0;Residentiels;11910501219.2917
2013-09-17;35447635687.5;1678114729.16667;2132048280.72917;35920210747.0833;1981770301.47917;4591083078.64583;332541070.104167;319288234.125;13.7017361111111;16.7565972222222;14.7208333333333;17.39375;3306786892.4375;512588575.208333;771706709.479166;9;308345009.1666663;12719033958.5417;23201176788.5417;4258542008.54167;2419652.0;PME / PMI;4817618787.35417
2013-09-30;34503057583.3333;227944458.333333;2067339659.5625;33610901925.375;1634489405.97917;1720526125.02083;274319993.979167;263087261.0;16.7354166666667;15.103125;17.7854166666667;15.675;569462574.604167;458721679.833333;692341821.291667;9;317397665.2083337;12101259010.8333;21509642914.5417;1446206131.04167;95912.0;Residentiels;11655334185.2708
2013-10-17;38531217500.0;746975145.833333;2371836288.52083;38336123689.7917;1979104504.72917;3287966693.1875;225994872.145833;212048407.895833;14.6826388888889;12.828125;14.11875;13.3604166666667;1938219050.125;429098174.375;920648421.2500006;10;364249068.9583333;13024251558.75;25311872131.0417;3061971821.04167;611378.0;Residentiels;13609206556.875
2013-10-25;35786356062.5;1342145604.16667;2156712278.02083;36030528853.4167;1827214363.14583;4077281211.35417;203406361.354167;187692462.958333;17.2145833333333;11.715625;16.6666666666667;12.21875;2811622994.08333;308635789.145833;957021682.2500006;10;334250538.1249997;12414242445.4167;23616286408.0;3873874850.0;608525.0;Residentiels;12617687387.4583
2013-10-29;38393171291.6667;1097760625.0;2365575572.29167;38379407043.1458;1995237026.9375;3802545738.02083;181649470.3125;164906739.75;11.2947916666667;11.1364583333333;14.0770833333333;11.63125;2557291940.08333;293162442.979167;952088796.2708337;10;352973789.3749997;12740375902.9167;25639031140.2292;3620896267.70833;608474.0;PME / PMI;4742367152.52083
2013-11-02;33238142375.0;2104714354.16667;2264206683.875;34554125481.7083;1331326797.58333;6003909835.45833;189052025.041667;162112755.75;14.1375;10.5625;12.6791666666667;11.0375;3819705449.0;263199722.4375;1920901011.6666663;11;319005690.8333337;8594187386.25;25959938095.4583;5814857810.41667;10606410.0;Professionnels;4326101677.14583
2013-11-05;43614117770.8333;1466910937.5;2804810092.0625;44616933906.6458;2357760830.33333;5692617009.77083;169115541.854167;140249995.479167;10.1708333333333;10.0989583333333;11.0666666666667;10.5958333333333;3388766687.4375;206359477.270833;2097365106.5208304;11;418079844.3750003;13252265913.9583;31364667992.6875;5523501467.91667;10612621.0;Professionnels;5634493612.125
2013-11-10;35699415187.5;1662095583.33333;2484778674.45833;36573177999.0;1163796438.47917;5395083377.89583;169577803.729167;140695497.729167;9.67083333333333;9.375;10.8958333333333;9.84375;2997519628.3125;218030965.625;2179398763.6875;11;374446308.541667;8040527491.45833;28532650507.5417;5225505574.16667;10612909.0;Residentiels;19099955370.6042
2013-11-10;35699415187.5;1662095583.33333;2484778674.45833;36573177999.0;1163796438.47917;5395083377.89583;169577803.729167;140695497.729167;9.67083333333333;9.375;10.8958333333333;9.84375;2997519628.3125;218030965.625;2179398763.6875;11;374446308.541667;8040527491.45833;28532650507.5417;5225505574.16667;10612909.0;Professionnels;4370589218.75
2013-12-01;48254182958.3333;522836437.5;3680029124.125;47638760861.9375;1388503522.27083;4113312780.45833;154561480.458333;133762454.958333;4.56145833333333;6.53645833333333;4.9375;6.90208333333333;1552730386.45833;288087973.708333;2272492068.270833;12;525869315.2083333;8929692348.75;38709068513.1875;3958751300.0;93380.0;Entreprises;10318195871.02083
2013-12-14;50491063333.3333;773040541.666667;3907720571.58333;50095297967.1875;1511757493.39583;4826796062.85417;141148398.479167;115750732.25;5.90520833333333;5.31145833333333;4.81041666666667;5.58125;2346091742.6875;236032308.458333;2244667321.437496;12;541800315.833333;10141427842.0833;39953870125.1042;4685647664.375;1888120.0;Entreprises;11653185335.47913
2013-12-18;51082417020.8333;1263108562.5;3504679763.375;51539404521.0625;2116461518.0625;5737641170.47917;135685929.020833;111111623.8125;8.415625;5.04791666666667;7.44583333333333;5.30208333333333;3303175435.54167;212583272.729167;2221878284.1458373;12;512865344.3749997;13230037727.0833;38309366793.9792;5601955241.45833;1894941.0;Professionnels;6548753426.375
2013-12-20;51644081729.1667;689072250.0;3562522711.60417;51599703795.9167;2063132541.97917;4735576999.66667;135875977.791667;111323258.833333;6.034375;4.9375;7.01666666666667;5.18333333333333;2170238634.77083;197340884.666667;2367992625.0833335;12;528359971.4583333;12394678275.625;39205025520.2917;4599701021.875;1895018.0;Residentiels;24474691456.125
2013-12-20;51644081729.1667;689072250.0;3562522711.60417;51599703795.9167;2063132541.97917;4735576999.66667;135875977.791667;111323258.833333;6.034375;4.9375;7.01666666666667;5.18333333333333;2170238634.77083;197340884.666667;2367992625.0833335;12;528359971.4583333;12394678275.625;39205025520.2917;4599701021.875;1895018.0;PME / PMI;5944494379.58333
2013-12-22;43209514812.5;2529142104.16667;3179604623.27083;44399591306.2083;1289297830.14583;7371334024.08333;135877222.833333;111324274.104167;8.96354166666667;4.825;7.7375;5.07083333333333;4833561254.35417;184561472.875;2353208102.083329;12;472510802.916667;8477632748.54167;35921958557.6667;7235456801.25;1895018.0;PME / PMI;4411062899.4375
2013-12-29;44326559083.3333;779746875.0;3289719655.20833;44403387526.5625;1279241598.875;4651095603.04167;139410892.625;116529331.25;5.73125;4.66041666666667;7.11666666666667;4.83541666666667;2021946309.47917;243280196.5625;2385859930.6875033;12;504800629.5833337;7873331273.95833;36530056252.6042;4511684710.41667;1894790.0;Residentiels;25436174786.8333
2013-12-30;49584103958.3333;1232234875.0;3353821981.22917;50318597156.5208;2071645899.64583;5864209662.91667;139695633.958333;118394618.354167;4.89791666666667;4.65;6.2875;4.82291666666667;3219945716.16667;245881853.854167;2398373335.3125;12;543659608.5416663;9975098948.54167;40343498207.9792;5724514028.95833;1894499.0;Entreprises;12046744848.1875
2013-12-30;49584103958.3333;1232234875.0;3353821981.22917;50318597156.5208;2071645899.64583;5864209662.91667;139695633.958333;118394618.354167;4.89791666666667;4.65;6.2875;4.82291666666667;3219945716.16667;245881853.854167;2398373335.3125;12;543659608.5416663;9975098948.54167;40343498207.9792;5724514028.95833;1894499.0;Professionnels;6504778998.91667
